DATAFLOW,LAST UPDATE,freq,unit,nace_r2,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,2000,252664.7,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,2001,256933.8,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,2002,258757.8,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,2003,263500.2,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,2004,270344.6,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,2005,272888.9,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,2006,277511.6,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,2007,282863.6,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,2008,272958.8,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,2009,254011.7,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,2010,258461.5,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,2011,266312.0,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,2012,266494.8,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,2013,269083.8,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,2014,270982.3,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,2015,271001.1,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,2016,270293.8,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,2017,272869.7,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,2018,279379.7,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,2019,283920.7,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,2020,259120.4,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,2021,276278.3,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,2022,250153.0,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,2023,269721.4,p,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,FR,2024,279194.4,p,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,1995,297564.1,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,1996,297436.7,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,1997,299657.5,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,1998,303884.3,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,1999,303722.0,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,2000,311951.4,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,2001,309827.3,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,2002,309676.6,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,2003,301907.1,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,2004,307498.0,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,2005,307432.9,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,2006,318301.6,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,2007,325792.7,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,2008,316742.2,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,2009,262707.9,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,2010,282850.0,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,2011,287237.6,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,2012,276600.7,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,2013,272557.2,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,2014,270217.9,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,2015,274001.5,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,2016,281340.4,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,2017,291208.6,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,2018,294969.4,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,2019,295610.1,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,2020,259968.0,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,2021,297953.5,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,2022,297832.3,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,2023,295617.4,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,IT,2024,295702.2,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,1995,74646.1,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,1996,77407.7,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,1997,77688.1,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,1998,80449.3,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,1999,82803.6,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,2000,86314.9,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,2001,88659.3,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,2002,88705.2,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,2003,87568.9,,
ESTAT:NAMA_10_A10(1.0),28/01/26 11:00:00,A,CLV15_MEUR,B-E,B1G,NL,2004,91238.9,,
